site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.178406574751459,0.08774388144311067
ES1ALM01,2022,37.22261,-6.49975,0.24550681837887708,0.1449840316867435
ES1AZD01,2022,37.25774,-6.20492,0.3868102698607836,0.2264763518928661
ES1AZN01,2022,37.23483,-6.16897,0.35825594078642864,0.2188843149903943
ES1BON01,2022,37.331111,-6.667778,0.14127174458620909,0.08563418403675975
ES1CAI01,2022,37.3,-6.689722,0.20146291218162743,0.12479519646651369
ES1CAM01,2022,37.27652,-6.22105,0.2552078530630182,0.17898208644499275
ES1CON01,2022,37.29183,-6.75247,0.16758500559182127,0.08699905745171208
ES1CRU01,2022,37.33639,-6.48321,0.3173734965252488,0.20194521330390527
ES1CUN01,2022,37.23293,-6.55494,0.26436186123614513,0.09454384789116091
ES1CUT01,2022,37.34943,-6.50578,0.21513231990782283,0.09581244283613818
ES1DEH01,2022,37.35591,-6.60393,0.13288083338316545,0.09665236268866967
ES1DUN01,2022,37.36809,-6.54945,0.09054929893644773,0.046991532718348265
ES1ECO01,2022,37.30863,-6.46184,0.3125221430202419,0.12514377641284594
ES1ENT01,2022,37.18759,-6.49773,0.19650096558340677,0.10532627124698474
ES1ESP01,2022,37.28172,-6.55538,0.15327939096371548,0.08311252023636044
ES1HER01,2022,37.277778,-6.600278,0.13966090965763964,0.04789718839345571
ES1HIN01,2022,37.28925,-6.43359,0.41797675475170987,0.2246978023701551
ES1MAJ01,2022,37.22494,-6.19798,0.37013045559926044,0.2067951243306307
ES1MEI01,2022,37.24388,-6.60103,0.20938068422230557,0.07622372189785531
ES1MIA01,2022,37.305556,-6.6125,0.12259285401010278,0.04201152186096989
ES1PER01,2022,37.28306,-6.38197,0.28830675326500305,0.10457243593179044
ES1PIN01,2022,37.19594,-6.76125,0.4853088882010283,0.2335978483690978
ES1POI01,2022,37.234167,-6.383889,0.36191569889165937,0.16359683253344517
ES1POZ01,2022,37.24921,-6.66097,0.35683577129182326,0.20489210590063253
ES1ROC01,2022,37.12381,-6.50691,0.24991315917893808,0.1820868203486297
ES1TOR01,2022,37.24988,-6.23855,0.26782413054655263,0.1478330841221165
ES1URB01,2022,37.28806,-6.67508,0.20658352129335938,0.06239823237077051
ES1VIE01,2022,37.23926,-6.2808,0.2624442216238578,0.20127023519843404
ES1VIS01,2022,37.2167,-6.30381,0.1482835565091809,0.11284413259608649
AC,2023,37.604103,-5.8702192,0.09694516405718674,0.026633959673749538
AHQ,2023,37.4348103,-5.9442168,0.04451425878969419,0.019272382133340316
AT,2023,37.5836922,-5.9345506,0.06670641098911838,0.030924372108292436
PPE,2023,37.5481628,-5.9094094,0.06556990485523587,0.02709745635769745
PQ,2023,37.4235617,-6.0163071,0.08170303624964376,0.03631672941631471
