site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.1909893879305867,0.0756026072620134
ES1ALM01,2022,37.22261,-6.49975,0.24175833506867037,0.12393500184926642
ES1AZD01,2022,37.25774,-6.20492,0.34275411439894143,0.19782386283182746
ES1AZN01,2022,37.23483,-6.16897,0.305157409802249,0.1915066074406516
ES1BON01,2022,37.331111,-6.667778,0.1495901991501413,0.07389788051960039
ES1CAI01,2022,37.3,-6.689722,0.19336627398559644,0.10702725098685606
ES1CAM01,2022,37.27652,-6.22105,0.2415612729766024,0.1536975221092341
ES1CON01,2022,37.29183,-6.75247,0.16099832641641929,0.07595502179562502
ES1CRU01,2022,37.33639,-6.48321,0.27732990458009554,0.1742723988878853
ES1CUN01,2022,37.23293,-6.55494,0.25867984314030346,0.08237751408892324
ES1CUT01,2022,37.34943,-6.50578,0.20118344376525213,0.08380386058195992
ES1DEH01,2022,37.35591,-6.60393,0.11957484050209125,0.08321640373041977
ES1DUN01,2022,37.36809,-6.54945,0.09265887751923628,0.04161994123232912
ES1ECO01,2022,37.30863,-6.46184,0.30604283150052897,0.10945416607281437
ES1ENT01,2022,37.18759,-6.49773,0.1987848865094676,0.09172440214285112
ES1ESP01,2022,37.28172,-6.55538,0.1471050694110724,0.07241328858165874
ES1HER01,2022,37.277778,-6.600278,0.1596012200741259,0.04232820280899534
ES1HIN01,2022,37.28925,-6.43359,0.3744585024102371,0.19548957179066032
ES1MAJ01,2022,37.22494,-6.19798,0.3183190089942559,0.17974645983126758
ES1MEI01,2022,37.24388,-6.60103,0.2350436695919525,0.06530678715658438
ES1MIA01,2022,37.305556,-6.6125,0.13982953098066178,0.03790618065625206
ES1PER01,2022,37.28306,-6.38197,0.30312710532090203,0.09011253540606567
ES1PIN01,2022,37.19594,-6.76125,0.4513741571645464,0.20184248283940573
ES1POI01,2022,37.234167,-6.383889,0.35103673811138403,0.14297850916937177
ES1POZ01,2022,37.24921,-6.66097,0.327736278115281,0.17883502440833615
ES1ROC01,2022,37.12381,-6.50691,0.23643153514244236,0.15722416518143412
ES1TOR01,2022,37.24988,-6.23855,0.26582098726501574,0.127632409572018
ES1URB01,2022,37.28806,-6.67508,0.2179960807938353,0.05478440540704255
ES1VIE01,2022,37.23926,-6.2808,0.22380677550031905,0.17357663524950978
