site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.1918656533988561,0.07853298656800643
ES1ALM01,2022,37.22261,-6.49975,0.2442458469083034,0.12974757736295184
ES1AZD01,2022,37.25774,-6.20492,0.3448912913909342,0.20372657105803435
ES1AZN01,2022,37.23483,-6.16897,0.3062542045069144,0.1969095836159425
ES1BON01,2022,37.331111,-6.667778,0.14865525318335723,0.07627382956800706
ES1CAI01,2022,37.3,-6.689722,0.19416196719130782,0.11168145962879107
ES1CAM01,2022,37.27652,-6.22105,0.24308046556127605,0.16066189349522625
ES1CON01,2022,37.29183,-6.75247,0.16070172549882916,0.0783003694271101
ES1CRU01,2022,37.33639,-6.48321,0.28033439454401005,0.18158992830220128
ES1CUN01,2022,37.23293,-6.55494,0.26153125679366507,0.08536516613569463
ES1CUT01,2022,37.34943,-6.50578,0.2022010977347148,0.08636653048796551
ES1DEH01,2022,37.35591,-6.60393,0.11832364231262212,0.08594136846488554
ES1DUN01,2022,37.36809,-6.54945,0.09083480793283456,0.04220956736147348
ES1ECO01,2022,37.30863,-6.46184,0.30935292174090545,0.11272126128877813
ES1ENT01,2022,37.18759,-6.49773,0.19957674142382598,0.0946281478223199
ES1ESP01,2022,37.28172,-6.55538,0.14707381017008422,0.07466860788701692
ES1HER01,2022,37.277778,-6.600278,0.1591137206811685,0.04287976612332824
ES1HIN01,2022,37.28925,-6.43359,0.3782315959994585,0.20215939936800179
ES1MAJ01,2022,37.22494,-6.19798,0.32038873428133013,0.18595205076044236
ES1MEI01,2022,37.24388,-6.60103,0.23657198690531175,0.06763028796487475
ES1MIA01,2022,37.305556,-6.6125,0.1386443483150772,0.037708460064903346
ES1PER01,2022,37.28306,-6.38197,0.30693725275542894,0.09382248065619536
ES1PIN01,2022,37.19594,-6.76125,0.4565070961093801,0.21009674965314273
ES1POI01,2022,37.234167,-6.383889,0.35398213592382355,0.14692643573548034
ES1POZ01,2022,37.24921,-6.66097,0.32895497466469503,0.18423468320153705
ES1ROC01,2022,37.12381,-6.50691,0.23759216051277904,0.16331588584688558
ES1TOR01,2022,37.24988,-6.23855,0.2673753025158918,0.13229046411899004
ES1URB01,2022,37.28806,-6.67508,0.2188404016657301,0.055914789590293335
ES1VIE01,2022,37.23926,-6.2808,0.22558502046179,0.18024509818038215
ES1VIS01,2022,37.2167,-6.30381,0.15481306562079936,0.10083984384474173
AC,2023,37.604103,-5.8702192,0.11876477746494148,0.023987776571823712
AHQ,2023,37.4348103,-5.9442168,0.04810348293896977,0.017355055760492212
AT,2023,37.5836922,-5.9345506,0.07576633837268239,0.027876926937278595
PPE,2023,37.5481628,-5.9094094,0.062437367399534566,0.0246737055367789
PQ,2023,37.4235617,-6.0163071,0.07980475734949234,0.032768444967747376
PSJ,2023,37.488445,-5.9475667,0.054906003434881986,0.01919795773176311
RCB,2023,37.5240052,-5.8818075,0.049927274556444225,0.020609518535319366
RCV,2023,37.488073,-5.8837766,0.04058618694934929,0.015288079023982897
RJ1,2023,37.476992,-5.9211163000000004,0.04462430892272332,0.022175729193688595
RJ16,2023,37.4701785,-5.9172,0.04273981364081454,0.025989354781901914
RJ2,2023,37.4719691,-5.901102,0.04167345952684564,0.026172730538381574
RMI,2023,37.7099967,-5.9349672,0.48327309706315036,0.1475046069169589
RMO,2023,37.699565,-5.8639758,0.4538139657412974,0.18745631496196521
SSH,2023,37.6708586,-5.497438,0.07672818788913409,0.03158945222380262
SSM,2023,37.6163601,-5.6561561,0.10122803315083735,0.03608710595246987
SSS,2023,37.6784449,-5.447756,0.07176001007463435,0.030268015342605387
Casilla_Aranda,2020,37.624877,-4.518691,0.34458159513081604,0.16730437215646893
Casona,2020,37.74612,-3.62784,0.42120691711955943,0.16790695762585645
Cortijo_Guadiana_extensivo,2020,37.897958,-3.209407,0.24340342146777244,0.11727537931580181
David_Lantejuela,2020,37.353015,-5.298202,0.07623775048746656,0.05556536532204565
La_Luna,2020,38.185758,-4.750848,0.4346810854765223,0.17989093274136062
Monva,2020,37.87143,-3.588215,0.31356551912251496,0.111221146611643
Moraleda,2020,37.181332,-3.975632,0.2624912734514507,0.07824255701675864
Peña_del_Gallo,2020,36.994083,-5.470297,0.23183016495925327,0.09687836069976621
Piedras_Cucas,2020,37.768521,-4.102191,0.36802293999289937,0.13580798605672284
Tobazo,2020,37.555699,-4.041627,0.414494020985434,0.17193429601253896
Toquillas,2020,37.558716,-4.403826,0.3193392897658226,0.1518122984876603
Torres_de_Albanchez,2020,38.400195,-2.652453,0.4044101600099763,0.17233513859629013
Buenas_noches,2021,36.3896336254593,-5.58834510073453,0.45719372617598203,0.18224941001671982
Fates,2021,36.12025,-5.669833,0.4368867737226467,0.18280300197167826
Marrufo,2021,36.573917,-5.536583,0.46101977280636797,0.18608663158914282
Montecoche,2021,36.2775290209507,-5.54787121675272,0.4138819619170929,0.17939998188298623
Montero,2021,36.47675,-5.600111,0.44170612628919653,0.16124689384524712
M_a1,2020,36.8411111,-2.12935,0.3268151265369241,0.07507468423880904
M_a2,2020,36.8413889,-2.128611111,0.3296078443341256,0.07924665535037671
M_a3,2020,36.8425,-2.1275,0.3330191163821081,0.0850604798979733
M_a4,2020,36.84374167,-2.12459722,0.3419714675118561,0.0976751132782897
S_a1,2020,36.84671944,-2.15596111,0.27006555850256525,0.13468894826729083
S_a2,2020,36.84698889,-2.15552222,0.27157759168236373,0.13586458130556625
S_a3,2020,36.84811111,-2.15476944,0.27559912299332623,0.14389705238702716
S_a4,2020,36.85024722,-2.15315,0.2834941153404485,0.15921837562486718
A_b,2020,36.96067778,-1.99682778,0.4593306175491645,0.20893407948174136
A_c,2020,36.948055600000004,-1.952222222,0.34254234470674166,0.1557200798416538
B_a1,2020,36.9988889,-2.051197222,0.34020202948582634,0.11524079477197223
B_a2,2020,36.9988889,-2.050483333,0.34130620026875536,0.11842152978160504
B_a3,2020,36.9988889,-2.049244444,0.3431760293711606,0.12434294194592325
B_a4,2020,37.0002778,-2.046141667,0.3525552552322462,0.1456417299708388
C_b,2020,36.99322778,-2.09266389,0.35275820938390445,0.1807006159103541
E_a1,2020,36.9733333,-2.124508333,0.2761439888112625,0.09817210987557794
E_a2,2020,36.97420278,-2.12474444,0.2823354269962192,0.10472737170753774
E_a3,2020,36.97448611,-2.12864167,0.29021888017029107,0.11139864073966127
E_a4,2020,36.9772222,-2.129525,0.31053946798097615,0.1330206614633996
F_b,2020,36.9166667,-2.053836111,0.32721935132593294,0.13982368758330535
H_a1,2020,36.91945,-2.11865833,0.16285615241656112,0.029900847474307057
I_a1,2020,36.88548611,-2.21665833,0.24139858369946576,0.1100998238806708
I_a2,2020,36.88513611,-2.21679167,0.24154212535164035,0.11012548032751174
I_a3,2020,36.88414167,-2.21739444,0.24261130863134905,0.11099901429197492
I_a4,2020,36.882925,-2.22443056,0.26490100234894776,0.1340539378371136
J_a1,2020,36.9002778,-2.125627778,0.22912455354609695,0.10621894160366431
J_a2,2020,36.900141669999996,-2.12482778,0.232168057014495,0.11260931517931715
J_a3,2020,36.89948611,-2.12394167,0.23834235380105992,0.12527973216783664
J_a4,2020,36.8972222,-2.121111111,0.25726962982572543,0.16216302298723564
K_a1,2020,36.86987222,-2.18835278,0.22586471917619197,0.11064630659345773
K_a2,2020,36.86954167,-2.18778611,0.2272970900291554,0.11255577705072867
K_a3,2020,36.86916111,-2.18677222,0.2298855688751494,0.11618141219691511
K_a4,2020,36.8663889,-2.184111111,0.2386212346747834,0.1299674806367522
L_a1,2020,36.86235556,-2.34627222,0.21816229535213175,0.1413127950695279
L_a2,2020,36.8625,-2.345502778,0.2211595629888486,0.14625289711957457
L_a3,2020,36.86255278,-2.34405,0.22564675034055715,0.1540485682165646
L_a4,2020,36.86258889,-2.33907222,0.2397265700645153,0.16950295097391394
M_b,2020,36.9277778,-2.207577778,0.29106225173561484,0.160564154548106
O_a1,2020,36.8180556,-2.241861111,0.2655871830684674,0.12596369024893142
O_a2,2020,36.81869444,-2.24262222,0.26877101650329005,0.13215247787997775
O_a3,2020,36.818275,-2.24484722,0.2697827640056011,0.1453362896902236
O_a4,2020,36.8177778,-2.248055556,0.27031164802749613,0.1642262612732437
O_b,2020,36.82933333,-2.26770278,0.29964144422001426,0.20902553101689111
P_b,2020,36.77150556,-2.20498611,0.23494550503507824,0.15428568043309532
P_c,2020,36.73179444,-2.20160833,0.12266383821224787,0.08463249723732272
P_d,2020,36.74422222,-2.12543611,0.16281142100881518,0.08975046443873548
Q_a1,2020,36.8611111,-2.221944444,0.24332843259058343,0.07067453386215587
Q_a2,2020,36.86168611,-2.22181111,0.24308598217933763,0.0703882723669396
Q_a3,2020,36.8622222,-2.22115,0.24145696132694353,0.06923868151798791
Q_a4,2020,36.86403333,-2.23081667,0.27052713047172255,0.08586974883959658
Q_b,2020,36.86611389,-2.26642778,0.3391378320640479,0.14488894094892488
R_a1,2020,36.81300278,-2.14320833,0.32863274703278494,0.1269854991585649
R_a2,2020,36.81332778,-2.14251667,0.3312463292189175,0.13521041126211175
R_a3,2020,36.8138889,-2.141380556,0.33564015944230874,0.149448180766361
R_a4,2020,36.81271389,-2.13728056,0.3595011341646663,0.17576358925249053
R_c,2020,36.76966944,-2.09939722,0.23746981422960864,0.1461607814977864
S_c,2020,36.80610833,-2.08099167,0.38021430783989113,0.19140697095551326
T_a1,2020,36.88289167,-2.10270556,0.3409979891948161,0.10904794555974681
T_a2,2020,36.88316944,-2.10126944,0.3436377659042532,0.11104832967499102
T_a3,2020,36.88390833,-2.10046111,0.34397379772371384,0.1175440187719683
T_a4,2020,36.8863889,-2.098122222,0.3445229866695268,0.13650614104938927
T_b,2020,36.8605556,-2.077777778,0.4233280258964817,0.15727367408921064
U_a1,2020,36.83841667,-2.29284167,0.22764618713673684,0.11253837070770137
U_a2,2020,36.83754722,-2.29262222,0.22582775526562013,0.11823932690921876
U_a3,2020,36.83666944,-2.29302778,0.22172502539765543,0.1266796035546414
U_a4,2020,36.83408333,-2.29376944,0.21052602362438047,0.14900662153385313
X_a1,2020,36.95313333,-2.16442222,0.25810285368310926,0.09795207093719767
X_a2,2020,36.95350278,-2.16483333,0.26189117536430573,0.10204898118487044
X_a3,2020,36.95461389,-2.165133333,0.2703396099052402,0.11158532357737531
